address,chain,name,entity,category,tags
0x06f7c4350d6d5ee926b3ac4fa0c9c351055456e75c92227468d84232fc493a9c,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x036017e69d21d6d8c13e266eabb73ef1f1d02722d86bdcabe5f168f8e549d3cd,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x01aa95ea66e7e01acf7dc3fda8be0d8661230c4c36b0169e2bab8ab4d6700dfc,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x046da8955829adf2bda310099a0063451923f02e648cf25a1203aac6335cf0e4,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x029023e0a455d19d6887bc13727356070089527b79e6feb562ffe1afd6711dbe,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x0103eafe79f8631932530cc687dfcdeb013c883a82619ebf81be393e2953a87a,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x016f9def00daef9f1874dd932b081096f50aec2fe61df31a81bc5707a7522443,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x049eaed2a1ba2f2eb6ac2661ffd2d79231cdd7d5293d9448df49c5986c9897ae,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x01c3c8284d7eed443b42f47e764032a56eaf50a9079d67993b633930e3689814,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x016dea82a6588ca9fb7200125fa05631b1c1735a313e24afe9c90301e441a796,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x051f5fc1ddcffcb0bf548378e0166a5e5328fb4894efbab170e3fb1a4c0cdfdf,starknet,Loot Survivor,Loot Survivor,gaming,gaming
0x04364d8e9f994453f5d0c8dc838293226d8ae0aec78030e5ee5fb91614b00eb5,starknet,LootRealms,LootRealms,gaming,gaming
0x015d9023ac1fbc6963c0ad84e3b98c47c6ff90def416e2c21f7b0da1759e4546,starknet,LootRealms,LootRealms,gaming,gaming
0x00594d857f23ba0bb3b5820b2f24af943be6102d73b92228f8ac60f9ab364f36,starknet,LootRealms,LootRealms,gaming,gaming
0x02e4727dfc9f4a6a0c8cee69c6987f487637ccd5e220808fd975bf267cf70431,starknet,LootRealms,LootRealms,gaming,gaming
0x0643bce119f53a1ec83f57c4c42f694659c2da543d6f8a85b335d3f4bef12548,starknet,LootRealms,LootRealms,gaming,gaming
0x062d69c12007e40bd6689499829bf5ed56a5908ce307bc5bd614fc50f299333b,starknet,LootRealms,LootRealms,gaming,gaming
0x041845afb6e2b85adbd473941344c8ab017914977280fe8d9b724b27822458e1,starknet,LootRealms,LootRealms,gaming,gaming
0x049ff5b3a7d38e2b50198f408fa8281635b5bc81ee49ab87ac36c8324c214427,starknet,Nostra,Nostra,lending,"defi,lending"
0x05e03162008d76cf645fe53c6c13a7a5fce745e8991c6ffe94400d60e44c210a,starknet,Nostra,Nostra,lending,"defi,lending"
0x01583919ffd78e87fa28fdf6b6a805fe3ddf52f754a63721dcd4c258211129a6,starknet,Nostra,Nostra,lending,"defi,lending"
0x042543c7d220465bd3f8f42314b51f4f3a61d58de3770523b281da61dbf27c8a,starknet,Nostra,Nostra,lending,"defi,lending"
0x01a2de9f2895ac4e6cb80c11ecc07ce8062a4ae883f64cb2b1dc6724b85e897d,starknet,Nostra,Nostra,lending,"defi,lending"
0x073f6addc9339de9822cab4dac8c9431779c09077f02ba7bc36904ea342dd9eb,starknet,Nostra,Nostra,lending,"defi,lending"
0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,starknet,Nostra,Nostra,lending,"defi,lending"
0x063d69ae657bd2f40337c39bf35a870ac27ddf91e6623c2f52529db4c1619a51,starknet,Nostra,Nostra,lending,"defi,lending"
0x05ef8800d242c5d5e218605d6a10e81449529d4144185f95bf4b8fb669424516,starknet,Nostra,Nostra,lending,"defi,lending"
0x00c318445d5a5096e2ad086452d5c97f65a9d28cafe343345e0fa70da0841295,starknet,Nostra,Nostra,lending,"defi,lending"
0x024e9b0d6bc79e111e6872bb1ada2a874c25712cf08dfc5bcf0de008a7cca55f,starknet,Nostra,Nostra,lending,"defi,lending"
0x068400056dccee818caa7e8a2c305f9a60d255145bac22d6c5c9bf9e2e046b71,starknet,Nostra,Nostra,lending,"defi,lending"
0x07ae43abf704f4981094a4f3457d1abe6b176844f6cdfbb39c0544a635ef56b0,starknet,Nostra,Nostra,lending,"defi,lending"
0x057146f6409deb4c9fa12866915dd952aa07c1eb2752e451d7f3b042086bdeb8,starknet,Nostra,Nostra,lending,"defi,lending"
0x04b64b2f861d2ac56cee58a02d8474d83dc16cc84ecd8d3ef2024f70aed92378,starknet,Nostra,Nostra,lending,"defi,lending"
0x00c530f2c0aa4c16a0806365b0898499fba372e5df7a7172dc6fe9ba777e8007,starknet,Nostra,Nostra,lending,"defi,lending"
0x0453c4c996f1047d9370f824d68145bd5e7ce12d00437140ad02181e1d11dc83,starknet,Nostra,Nostra,lending,"defi,lending"
0x00d8621fa1f45928c462a6db8e78b5a4bb09b6032ba2344707204757cc2adfe3,starknet,Nostra,Nostra,lending,"defi,lending"
0x052b136b37a7e6ea52ce1647fb5edc64efe23d449fc1561d9994a9f8feaa6753,starknet,Nostra,Nostra,lending,"defi,lending"
